case_,date_of_occurrence,block,_primary_decsription,fbi_cd,_secondary_description,ward,_location_description,domestic,beat,_iucr,arrest,:@computed_region_43wa_7qmu,location,y_coordinate,latitude,:@computed_region_awaf_s7ux,x_coordinate,longitude,:@computed_region_bdys_3d7i,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k
JF238175,2022-05-11T11:25:00.000,002XX W MADISON ST,THEFT,06,RETAIL THEFT,42,DRUG STORE,N,122,0860,N,,,,,,,,,,
JF228949,2022-04-25T12:00:00.000,010XX W DIVERSEY PKWY,THEFT,06,FROM BUILDING,44,RESIDENCE - GARAGE,N,1933,0890,N,,,,,,,,,,
JF293270,2022-06-24T01:00:00.000,054XX S Ingleside Ave,THEFT,06,OVER $500,5,STREET,N,233,0810,N,,,,,,,,,,
JF361213,2022-08-16T09:00:00.000,013XX W FULTON ST,THEFT,06,OVER $500,27,PARKING LOT / GARAGE (NON RESIDENTIAL),N,1215,0810,N,,,,,,,,,,
JF322873,2022-07-16T12:20:00.000,015XX N milwaukee ave,THEFT,06,RETAIL THEFT,1,SMALL RETAIL STORE,N,1424,0860,N,,,,,,,,,,
JF349909,2022-08-06T13:00:00.000,007XX W 14TH ST,THEFT,06,FROM BUILDING,25,APARTMENT,N,1232,0890,N,,,,,,,,,,
JF462937,2022-11-03T19:00:00.000,031XX S ASHLAND AVE,THEFT,06,RETAIL THEFT,12,SMALL RETAIL STORE,N,912,0860,N,,,,,,,,,,
JF255983,2022-05-24T22:00:00.000,014XX W 15TH ST,THEFT,06,OVER $500,28,APARTMENT,N,1233,0810,N,,,,,,,,,,
JG139874,2023-02-02T21:00:00.000,007XX W FULTON MARKET,THEFT,06,$500 AND UNDER,42,PARKING LOT / GARAGE (NON RESIDENTIAL),N,1214,0820,N,36.0,"{'latitude': '41.886801163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.64591996'}",1902090.0,41.886801163,41.0,1171429.0,-87.64591996,784.0,4452.0,29.0
JF222888,2022-04-21T23:59:00.000,019XX N MILWAUKEE AVE,THEFT,06,OVER $500,1,APARTMENT,N,1434,0810,N,,,,,,,,,,
JF248910,2022-05-19T12:15:00.000,006XX N ST CLAIR ST,THEFT,06,OVER $500,42,STREET,N,1834,0810,N,,,,,,,,,,
JG178630,2023-03-08T14:43:00.000,039XX W MADISON ST,ASSAULT,08A,SIMPLE,28,STREET,Y,1122,0560,N,23.0,"{'latitude': '41.880751096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.723855981'}",1899725.0,41.880751096,11.0,1150223.0,-87.723855981,658.0,21572.0,27.0
JG179348,2023-03-08T01:40:00.000,075XX N SHERIDAN RD,THEFT,06,OVER $500,49,APARTMENT,N,2422,0810,N,5.0,"{'latitude': '42.018616136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.665846396'}",1950081.0,42.018616136,3.0,1165629.0,-87.665846396,357.0,21853.0,10.0
JF283073,2022-06-16T10:02:00.000,060XX N SHERIDAN RD,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,48,,N,2433,1153,N,,,,,,,,,,
JF273005,2022-06-08T18:32:00.000,098XX S UNION AVE,THEFT,06,$500 AND UNDER,34,RESIDENCE - PORCH / HALLWAY,N,2223,0820,N,,,,,,,,,,
JF345946,2022-08-05T21:30:00.000,014XX S MUSEUM CAMPUS DR,BATTERY,08B,SIMPLE,4,SPORTS ARENA / STADIUM,N,132,0460,N,,,,,,,,,,
JF326891,2022-07-14T16:00:00.000,006XX N MICHIGAN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,42,,N,1834,1153,N,,,,,,,,,,
JF235836,2022-05-09T08:15:00.000,027XX N HARDING AVE,THEFT,06,$500 AND UNDER,31,STREET,N,2524,0820,N,,,,,,,,,,
JF264741,2022-06-02T10:15:00.000,014XX S MUSEUM CAMPUS DR,CRIMINAL TRESPASS,26,TO LAND,4,SPORTS ARENA / STADIUM,N,132,1330,N,,,,,,,,,,
JF288171,2022-06-17T17:35:00.000,041XX N MONTICELLO AVE,THEFT,06,$500 AND UNDER,35,RESIDENCE - PORCH / HALLWAY,N,1723,0820,N,,,,,,,,,,
JF309572,2022-07-07T15:25:00.000,0000X W 99TH ST,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,9,,N,511,1153,N,,,,,,,,,,
JF261838,2022-05-31T03:50:00.000,017XX W 81ST ST,THEFT,06,OVER $500,21,STREET,N,611,0810,N,,,,,,,,,,
JF265016,2022-06-02T12:45:00.000,002XX W LAKE ST,THEFT,06,POCKET-PICKING,42,RESTAURANT,N,122,0870,N,,,,,,,,,,
JF358815,2022-08-15T11:30:00.000,004XX S STATE ST,THEFT,06,OVER $500,4,LIBRARY,N,113,0810,N,,,,,,,,,,
JF344126,2022-08-01T19:14:00.000,006XX N LA SALLE DR,THEFT,06,RETAIL THEFT,42,SMALL RETAIL STORE,N,1832,0860,N,,,,,,,,,,
JF310811,2022-07-06T12:10:00.000,009XX W WINONA ST,THEFT,06,OVER $500,48,VEHICLE NON-COMMERCIAL,N,2024,0810,N,,,,,,,,,,
JF251266,2022-05-21T14:15:00.000,049XX W JACKSON BLVD,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,28,,N,1533,1153,N,,,,,,,,,,
JF463363,2022-11-03T21:00:00.000,025XX N ELSTON AVE,THEFT,06,RETAIL THEFT,1,DEPARTMENT STORE,N,1432,0860,N,,,,,,,,,,
JG184210,2023-02-06T00:00:00.000,047XX S KOLIN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT $300 AND UNDER,14,STREET,N,815,1154,N,8.0,"{'latitude': '41.806858653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.732123746'}",1872783.0,41.806858653,35.0,1148160.0,-87.732123746,697.0,22248.0,54.0
JF345197,2022-08-03T12:25:00.000,059XX N ST LOUIS AVE,CRIMINAL DAMAGE,14,TO VEHICLE,39,RESIDENCE,N,1711,1320,N,,,,,,,,,,
JF349894,2022-08-08T02:52:00.000,010XX W OAKDALE AVE,THEFT,06,$500 AND UNDER,44,ALLEY,N,1933,0820,N,,,,,,,,,,
JF245204,2022-05-17T05:42:00.000,0000X W CONGRESS PKWY,THEFT,06,RETAIL THEFT,4,CONVENIENCE STORE,N,113,0860,N,,,,,,,,,,
JF278191,2022-05-03T14:25:00.000,023XX W MC LEAN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,32,,N,1432,1153,N,,,,,,,,,,
JF239187,2022-05-10T10:25:00.000,011XX W JACKSON BLVD,THEFT,06,RETAIL THEFT,25,DEPARTMENT STORE,N,1232,0860,N,,,,,,,,,,
JF394023,2022-09-11T01:00:00.000,0000X W HUBBARD ST,THEFT,06,OVER $500,42,BAR OR TAVERN,N,1831,0810,N,,,,,,,,,,
JF221497,2022-04-15T10:00:00.000,001XX W MADISON ST,DECEPTIVE PRACTICE,11,FRAUD OR CONFIDENCE GAME,42,ATM (AUTOMATIC TELLER MACHINE),N,122,1130,N,,,,,,,,,,
JF229965,2022-04-28T06:00:00.000,001XX S MAYFIELD AVE,THEFT,06,OVER $500,29,RESIDENCE - YARD (FRONT / BACK),N,1513,0810,N,,,,,,,,,,
JF347411,2022-07-31T15:05:00.000,003XX E RANDOLPH ST,THEFT,06,POCKET-PICKING,42,PARK PROPERTY,N,114,0870,N,,,,,,,,,,
JF271641,2022-06-04T23:40:00.000,006XX N WELLS ST,THEFT,06,OVER $500,42,BAR OR TAVERN,N,1832,0810,N,,,,,,,,,,
JF351865,2022-08-09T10:00:00.000,041XX S LAKE SHORE DR SB,THEFT,06,$500 AND UNDER,4,OTHER (SPECIFY),N,214,0820,N,,,,,,,,,,
JG178911,2023-03-08T20:24:00.000,025XX W CULLERTON ST,CRIMINAL TRESPASS,26,TO LAND,24,OTHER RAILROAD PROPERTY / TRAIN DEPOT,N,1023,1330,Y,14.0,"{'latitude': '41.854762866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.689136226'}",1890324.0,41.854762866,11.0,1159749.0,-87.689136226,203.0,14920.0,32.0
JG165628,2022-04-14T12:00:00.000,062XX N WINTHROP AVE,DECEPTIVE PRACTICE,10,FORGERY,48,RESIDENCE,N,2433,1120,N,,,,,,,,,,
JG157973,2023-02-19T03:14:00.000,0000X E 21ST ST,BURGLARY,05,UNLAWFUL ENTRY,3,COMMERCIAL / BUSINESS OFFICE,N,131,0620,N,9.0,"{'latitude': '41.854273371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.624663171'}",1890284.0,41.854273371,48.0,1177315.0,-87.624663171,374.0,21194.0,34.0
JF241759,2022-05-10T09:00:00.000,0000X E RIVERWALK S,THEFT,06,PURSE-SNATCHING,42,BAR OR TAVERN,N,111,0880,N,,,,,,,,,,
JF288070,2022-06-18T10:00:00.000,0000X E RANDOLPH ST,THEFT,06,OVER $500,42,RESTAURANT,N,111,0810,N,,,,,,,,,,
JF352396,2022-06-20T17:00:00.000,004XX N MC CLURG CT,DECEPTIVE PRACTICE,11,CREDIT CARD FRAUD,42,RESTAURANT,N,1834,1150,N,,,,,,,,,,
JF342322,2022-08-01T21:10:00.000,022XX W MAYPOLE AVE,THEFT,06,$500 AND UNDER,27,RESIDENCE - YARD (FRONT / BACK),N,1223,0820,N,,,,,,,,,,
JF343808,2022-08-01T09:00:00.000,002XX N KEYSTONE AVE,THEFT,06,$500 AND UNDER,28,RESIDENCE,N,1114,0820,N,,,,,,,,,,
JF366010,2022-08-16T08:05:00.000,030XX S DR MARTIN LUTHER KING JR DR,THEFT,06,$500 AND UNDER,4,APARTMENT,N,133,0820,N,,,,,,,,,,
JF239298,2022-05-11T19:30:00.000,0000X W TERMINAL ST,THEFT,06,OVER $500,41,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,N,1651,0810,N,,,,,,,,,,
JF214477,2022-04-15T00:00:00.000,055XX S CORNELL AVE,CRIMINAL DAMAGE,14,TO VEHICLE,5,STREET,N,235,1320,N,,,,,,,,,,
JF359963,2022-08-14T00:00:00.000,011XX S MICHIGAN AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,4,,N,123,1153,N,,,,,,,,,,
JF358861,2022-08-15T10:20:00.000,006XX W ADAMS ST,CRIMINAL DAMAGE,14,TO VEHICLE,42,PARKING LOT / GARAGE (NON RESIDENTIAL),N,121,1320,N,,,,,,,,,,
JF280724,2022-06-15T13:30:00.000,015XX N FREMONT ST,THEFT,06,$500 AND UNDER,27,PARKING LOT / GARAGE (NON RESIDENTIAL),N,1822,0820,N,,,,,,,,,,
JF350056,2022-07-23T16:25:00.000,005XX N KINGSBURY ST,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,42,,N,1831,1153,N,,,,,,,,,,
JF461531,2022-11-03T13:00:00.000,028XX N MERRIMAC AVE,CRIMINAL DAMAGE,14,TO PROPERTY,30,STREET,N,2511,1310,N,,,,,,,,,,
JF460063,2022-11-03T00:40:00.000,034XX W LAKE ST,HOMICIDE,01A,FIRST DEGREE MURDER,28,STREET,N,1123,0110,N,23.0,"{'latitude': '41.884713074', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.712452377'}",1901191.0,41.884713074,11.0,1153318.0,-87.712452377,176.0,21572.0,28.0
JF316898,2022-07-08T05:30:00.000,135XX S Burley Ave,THEFT,06,$500 AND UNDER,10,RESIDENCE - PORCH / HALLWAY,N,433,0820,N,,,,,,,,,,
JF407237,2022-09-21T14:30:00.000,006XX N MICHIGAN AVE,THEFT,06,RETAIL THEFT,42,DEPARTMENT STORE,N,1834,0860,N,,,,,,,,,,
JF222883,2022-04-21T23:00:00.000,035XX N ASHLAND AVE,THEFT,06,$500 AND UNDER,47,RESIDENCE,N,1922,0820,N,,,,,,,,,,
JF228657,2022-04-29T13:30:00.000,006XX N FAIRBANKS CT,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,42,,N,1834,1153,N,,,,,,,,,,
JF294318,2022-06-26T00:05:00.000,035XX N CLARK ST,THEFT,06,POCKET-PICKING,44,RESTAURANT,N,1924,0870,N,,,,,,,,,,
JF314446,2022-07-11T14:20:00.000,051XX N LINCOLN AVE,THEFT,06,RETAIL THEFT,40,DRUG STORE,N,2031,0860,N,,,,,,,,,,
JF313086,2022-07-10T19:00:00.000,0000X E OHIO ST,THEFT,06,$500 AND UNDER,42,RESTAURANT,N,1834,0820,N,,,,,,,,,,
JF275609,2022-06-08T05:30:00.000,011XX W RANDOLPH ST,CRIMINAL DAMAGE,14,CRIMINAL DEFACEMENT,27,DEPARTMENT STORE,N,1224,1305,N,,,,,,,,,,
JF288442,2022-05-18T14:39:00.000,027XX N CLARK ST,THEFT,06,RETAIL THEFT,43,SMALL RETAIL STORE,N,1935,0860,N,,,,,,,,,,
JF280587,2022-06-11T12:33:00.000,002XX N WELLS ST,THEFT,06,OVER $500,42,PARKING LOT / GARAGE (NON RESIDENTIAL),N,122,0810,N,,,,,,,,,,
JF320734,2022-07-11T10:15:00.000,050XX S East End Ave,THEFT,06,FROM BUILDING,5,APARTMENT,N,222,0890,N,,,,,,,,,,
JG196841,2023-03-24T02:40:00.000,020XX E 95TH ST,CRIMINAL TRESPASS,26,TO LAND,7,SIDEWALK,N,431,1330,N,37.0,"{'latitude': '41.722492722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.573547643'}",1842383.0,41.722492722,43.0,1191665.0,-87.573547643,252.0,21202.0,48.0
JG177945,2023-03-08T04:30:00.000,022XX N MILWAUKEE AVE,ROBBERY,03,ARMED - HANDGUN,1,PARKING LOT / GARAGE (NON RESIDENTIAL),N,1431,031A,N,41.0,"{'latitude': '41.921328579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.694783498'}",1914569.0,41.921328579,24.0,1158030.0,-87.694783498,294.0,22535.0,23.0
JF502909,2022-12-08T11:30:00.000,021XX N ELSTON AVE,DECEPTIVE PRACTICE,11,FRAUD OR CONFIDENCE GAME,32,OTHER (SPECIFY),N,1432,1130,N,,,,,,,,,,
JF314379,2022-04-18T15:50:00.000,019XX N DAMEN AVE,DECEPTIVE PRACTICE,11,CREDIT CARD FRAUD,32,RESIDENCE,N,1434,1150,N,,,,,,,,,,
JF343706,2022-08-03T12:38:00.000,001XX W CHESTNUT ST,THEFT,06,OVER $500,2,RESIDENCE,N,1832,0810,N,,,,,,,,,,
JF351822,2022-08-10T14:25:00.000,048XX N BROADWAY,THEFT,06,POCKET-PICKING,46,SIDEWALK,N,2033,0870,N,,,,,,,,,,
JF351185,2022-08-03T16:43:00.000,046XX S Michigan Ave,THEFT,06,$500 AND UNDER,3,RESIDENCE,N,215,0820,N,,,,,,,,,,
JF268589,2022-05-24T13:09:00.000,049XX S DR MARTIN LUTHER KING JR DR,DECEPTIVE PRACTICE,11,FRAUD OR CONFIDENCE GAME,3,OTHER (SPECIFY),N,223,1130,N,,,,,,,,,,
JF235212,2022-05-07T21:10:00.000,048XX N Wolcott Ave,THEFT,06,OVER $500,47,APARTMENT,N,2032,0810,N,,,,,,,,,,
JF339513,2022-07-30T15:10:00.000,003XX E RANDOLPH ST,THEFT,06,POCKET-PICKING,42,PARK PROPERTY,N,114,0870,N,,,,,,,,,,
JF280723,2022-06-15T10:13:00.000,001XX N STATE ST,THEFT,06,RETAIL THEFT,42,DEPARTMENT STORE,N,111,0860,N,,,,,,,,,,
JF278230,2022-06-11T02:00:00.000,034XX N HALSTED ST,THEFT,06,POCKET-PICKING,44,BAR OR TAVERN,N,1924,0870,N,,,,,,,,,,
JF384709,2022-09-02T21:26:00.000,011XX W Chicago Ave,THEFT,06,FROM BUILDING,27,APARTMENT,N,1213,0890,N,,,,,,,,,,
JF491558,2022-11-18T04:50:00.000,007XX S Wells St,THEFT,06,OVER $500,25,RESIDENCE - GARAGE,N,123,0810,N,,,,,,,,,,
JF306979,2022-07-06T04:44:00.000,0000X W CONGRESS PKWY,ASSAULT,08A,SIMPLE,4,GAS STATION,N,113,0560,N,,,,,,,,,,
JG197292,2023-03-24T09:15:00.000,066XX S PERRY AVE,OTHER OFFENSE,26,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,6,APARTMENT,N,722,4651,N,32.0,"{'latitude': '41.773600901', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.628385732'}",1860879.0,41.773600901,31.0,1176542.0,-87.628385732,122.0,21559.0,67.0
JF277682,2022-06-09T18:00:00.000,024XX W Haddon Ave,THEFT,06,OVER $500,1,STREET,N,1212,0810,N,,,,,,,,,,
JF452314,2022-10-28T04:23:00.000,0000X E CONGRESS PKWY,THEFT,06,$500 AND UNDER,4,STREET,N,113,0820,N,,,,,,,,,,
JF381265,2022-09-02T01:45:00.000,007XX W CORNELIA AVE,THEFT,06,OVER $500,46,ALLEY,N,1925,0810,N,,,,,,,,,,
JG205676,2022-12-31T07:00:00.000,065XX S SEELEY AVE,THEFT,06,FROM BUILDING,16,SCHOOL - PUBLIC BUILDING,N,726,0890,N,,,,,,,,,,
JF350229,2022-07-29T09:20:00.000,004XX W ROSCOE ST,THEFT,06,OVER $500,44,APARTMENT,N,1925,0810,N,,,,,,,,,,
JF244574,2022-04-28T20:37:00.000,0000X N STATE ST,THEFT,06,RETAIL THEFT,42,DEPARTMENT STORE,N,112,0860,N,,,,,,,,,,
JF350437,2022-07-31T08:04:00.000,003XX S COLUMBUS DR,THEFT,06,POCKET-PICKING,42,PARK PROPERTY,N,114,0870,N,,,,,,,,,,
JF224079,2022-04-23T11:28:00.000,112XX S AVENUE N,THEFT,06,OVER $500,10,RESIDENCE,N,433,0810,N,,,,,,,,,,
JG178888,2023-03-08T19:43:00.000,083XX S WESTERN AVE,OTHER OFFENSE,26,FALSE / STOLEN / ALTERED TRP,18,STREET,N,835,502P,N,30.0,"{'latitude': '41.742293061', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.682669358'}",1849354.0,41.742293061,6.0,1161821.0,-87.682669358,217.0,21554.0,69.0
JG165371,2022-08-31T09:00:00.000,045XX N BEACON ST,DECEPTIVE PRACTICE,11,CREDIT CARD FRAUD,46,APARTMENT,N,1913,1150,N,,,,,,,,,,
JG179470,2023-03-08T22:00:00.000,010XX W WILSON AVE,CRIMINAL DAMAGE,14,TO PROPERTY,46,RESTAURANT,N,1914,1310,N,39.0,"{'latitude': '41.965420955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.655709284'}",1930718.0,41.965420955,37.0,1168537.0,-87.655709284,241.0,22616.0,31.0
JG138542,2023-02-02T16:38:00.000,019XX S ARCHER AVE,BATTERY,08B,SIMPLE,3,SIDEWALK,N,131,0460,N,9.0,"{'latitude': '41.856051578', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.628218813'}",1890924.0,41.856051578,12.0,1176341.0,-87.628218813,330.0,21194.0,34.0
JF230777,2022-04-22T09:25:00.000,015XX E 53RD ST,THEFT,06,OVER $500,5,COMMERCIAL / BUSINESS OFFICE,N,234,0810,N,,,,,,,,,,
JF341421,2022-07-22T18:11:00.000,006XX N MICHIGAN AVE,THEFT,06,RETAIL THEFT,42,DEPARTMENT STORE,N,1834,0860,Y,,,,,,,,,,
JF349078,2022-08-06T20:15:00.000,015XX N central ave,THEFT,06,RETAIL THEFT,29,CONVENIENCE STORE,N,2531,0860,N,,,,,,,,,,
JF315631,2022-07-11T15:15:00.000,005XX N MICHIGAN AVE,THEFT,06,POCKET-PICKING,42,RESTAURANT,N,1834,0870,N,,,,,,,,,,
JF373049,2022-08-27T21:20:00.000,014XX S MUSEUM CAMPUS DR,BATTERY,08B,SIMPLE,4,SPORTS ARENA / STADIUM,N,132,0460,Y,,,,,,,,,,
JF464597,2022-11-03T08:30:00.000,013XX E 62ND ST,THEFT,06,OVER $500,20,RESIDENCE,N,314,0810,N,,,,,,,,,,
JF503883,2022-12-08T09:00:00.000,007XX W GRAND AVE,THEFT,06,OVER $500,27,STREET,N,1214,0810,N,,,,,,,,,,
JF352570,2022-08-10T14:00:00.000,051XX N LINCOLN AVE,DECEPTIVE PRACTICE,11,CREDIT CARD FRAUD,40,DRUG STORE,N,2031,1150,N,,,,,,,,,,
JF314643,2022-07-07T10:30:00.000,014XX S WABASH AVE,CRIMINAL DAMAGE,14,TO VEHICLE,3,PARKING LOT / GARAGE (NON RESIDENTIAL),N,131,1320,N,,,,,,,,,,
JF296015,2022-06-26T07:30:00.000,0000X W TERMINAL ST,THEFT,06,POCKET-PICKING,41,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,1651,0870,N,,,,,,,,,,
JG125572,2022-12-08T00:00:00.000,027XX S CHRISTIANA AVE,MOTOR VEHICLE THEFT,07,AUTOMOBILE,22,STREET,N,1032,0910,N,,,,,,,,,,
JF275505,2022-06-09T20:25:00.000,048XX N LAKE SHORE DR NB,CRIMINAL DAMAGE,14,TO PROPERTY,48,OTHER (SPECIFY),N,2024,1310,N,,,,,,,,,,
JG117844,2023-01-16T05:57:00.000,018XX E 79TH ST,BURGLARY,05,FORCIBLE ENTRY,8,RESTAURANT,N,414,0610,N,35.0,"{'latitude': '41.751564703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.579196761'}",1852963.0,41.751564703,9.0,1190030.0,-87.579196761,507.0,22538.0,42.0
JF362262,2022-08-18T11:00:00.000,001XX N State St,THEFT,06,$500 AND UNDER,42,SIDEWALK,N,111,0820,N,,,,,,,,,,
JG159836,2023-02-19T00:00:00.000,004XX E 111TH PL,OFFENSE INVOLVING CHILDREN,08B,CHILD ABUSE,9,APARTMENT,Y,531,1750,N,43.0,"{'latitude': '41.691875818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.611671292'}",1831137.0,41.691875818,30.0,1181351.0,-87.611671292,253.0,21861.0,45.0
JF515932,2022-12-18T00:20:00.000,035XX N CLARK ST,THEFT,06,OVER $500,44,BAR OR TAVERN,N,1924,0810,N,,,,,,,,,,
JF316911,2022-07-07T16:00:00.000,059XX N NAVARRE AVE,DECEPTIVE PRACTICE,11,UNAUTHORIZED VIDEOTAPING,41,RESIDENCE,Y,1611,1261,N,,,,,,,,,,
JF363768,2022-08-16T08:50:00.000,040XX S ELLIS AVE,THEFT,06,OVER $500,4,PARK PROPERTY,N,214,0810,N,,,,,,,,,,
JG224367,2022-10-01T00:01:00.000,051XX N NORTHWEST HWY,THEFT,06,FROM BUILDING,45,COMMERCIAL / BUSINESS OFFICE,N,1623,0890,N,,,,,,,,,,
JF309694,2022-07-07T18:00:00.000,023XX N ELSTON AVE,CRIMINAL DAMAGE,14,TO PROPERTY,32,APARTMENT,N,1432,1310,N,,,,,,,,,,
JG185733,2022-11-12T13:30:00.000,027XX N CLYBOURN AVE,DECEPTIVE PRACTICE,10,FORGERY,32,DEPARTMENT STORE,N,1931,1120,N,,,,,,,,,,
JG165434,2022-12-31T00:00:00.000,051XX W WABANSIA AVE,DECEPTIVE PRACTICE,10,FORGERY,37,OTHER (SPECIFY),N,2533,1120,N,,,,,,,,,,
JF320436,2022-07-17T03:46:00.000,0000X W CONGRESS PKWY,THEFT,06,$500 AND UNDER,4,GAS STATION,N,113,0820,N,,,,,,,,,,
JG217737,2023-04-09T05:50:00.000,057XX S CICERO AVE,THEFT,06,FROM BUILDING,23,AIRPORT EXTERIOR - SECURE AREA,N,813,0890,N,,,,,,,,,,
JG165496,2022-12-14T02:45:00.000,035XX N RAVENSWOOD AVE,CRIMINAL DAMAGE,14,TO VEHICLE,47,STREET,N,1922,1320,N,,,,,,,,,,
JF227251,2022-04-16T23:59:00.000,008XX W Belle Plaine Ave,THEFT,06,OVER $500,46,STREET,N,1915,0810,N,,,,,,,,,,
JG178815,2023-03-08T09:00:00.000,096XX S AVENUE M,OTHER OFFENSE,26,HARASSMENT BY TELEPHONE,10,RESIDENCE,Y,432,2825,N,47.0,"{'latitude': '41.720463579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.537703682'}",1841732.0,41.720463579,47.0,1201457.0,-87.537703682,528.0,21202.0,49.0
JG178089,2023-03-08T08:47:00.000,063XX S STEWART AVE,BATTERY,08B,SIMPLE,20,HOSPITAL BUILDING / GROUNDS,N,722,0460,N,4.0,"{'latitude': '41.779396292', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.635035324'}",1862976.0,41.779396292,53.0,1174711.0,-87.635035324,435.0,21559.0,66.0
JG184298,2023-02-28T09:00:00.000,046XX N SHERIDAN RD,THEFT,06,OVER $500,46,APARTMENT,N,1914,0810,N,39.0,"{'latitude': '41.966669657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.654795172'}",1931175.0,41.966669657,37.0,1168782.0,-87.654795172,19.0,22616.0,31.0
JG178138,2023-03-08T09:00:00.000,001XX W CHICAGO AVE,CRIMINAL TRESPASS,26,TO LAND,2,COMMERCIAL / BUSINESS OFFICE,N,1832,1330,Y,11.0,"{'latitude': '41.896625811', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.631897482'}",1905701.0,41.896625811,22.0,1175218.0,-87.631897482,670.0,4446.0,37.0
JG178366,2023-03-08T12:35:00.000,015XX N KEDZIE AVE,ROBBERY,03,ARMED - HANDGUN,26,STREET,N,1422,031A,N,49.0,"{'latitude': '41.908514273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.706968373'}",1909875.0,41.908514273,10.0,1154748.0,-87.706968373,301.0,4299.0,24.0
JG182597,2023-03-08T18:57:00.000,019XX W 33RD ST,THEFT,06,RETAIL THEFT,25,DEPARTMENT STORE,N,912,0860,N,26.0,"{'latitude': '41.834042232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.674368991'}",1882804.0,41.834042232,26.0,1163830.0,-87.674368991,192.0,14920.0,56.0
JG179411,2023-03-08T19:00:00.000,017XX N LECLAIRE AVE,MOTOR VEHICLE THEFT,07,AUTOMOBILE,37,STREET,N,2533,0910,N,45.0,"{'latitude': '41.912673714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.752764058'}",1911303.0,41.912673714,4.0,1142272.0,-87.752764058,523.0,22615.0,26.0
