case_,date_of_occurrence,block,_primary_decsription,fbi_cd,_secondary_description,ward,_location_description,domestic,beat,_iucr,arrest,:@computed_region_43wa_7qmu,location,y_coordinate,latitude,:@computed_region_awaf_s7ux,x_coordinate,longitude,:@computed_region_bdys_3d7i,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k
JG119016,2023-01-16T14:30:00.000,060XX N Broadway,THEFT,06,FROM BUILDING,48,SMALL RETAIL STORE,N,2433,0890,N,16.0,"{'latitude': '41.992429157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.66034109'}",1940550.0,41.992429157,40.0,1167200.0,-87.66034109,46.0,4451.0,76.0
JG125275,2022-05-03T00:01:00.000,058XX W ADDISON ST,DECEPTIVE PRACTICE,11,FRAUD OR CONFIDENCE GAME,36,COMMERCIAL / BUSINESS OFFICE,N,1633,1130,N,,,,,,,,,,
JG119829,2023-01-16T17:00:00.000,069XX S CREGIER AVE,MOTOR VEHICLE THEFT,07,THEFT / RECOVERY - AUTOMOBILE,5,ALLEY,N,332,0930,N,33.0,"{'latitude': '41.768831857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.581296637'}",1859250.0,41.768831857,32.0,1189402.0,-87.581296637,381.0,22538.0,39.0
JG117719,2023-01-16T01:58:00.000,064XX S EBERHART AVE,MOTOR VEHICLE THEFT,07,THEFT / RECOVERY - AUTOMOBILE,20,STREET,N,312,0930,N,4.0,"{'latitude': '41.77752951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.613146192'}",1862345.0,41.77752951,53.0,1180687.0,-87.613146192,332.0,22260.0,9.0
JG118112,2023-01-16T10:14:00.000,031XX N CLARK ST,THEFT,06,RETAIL THEFT,44,SMALL RETAIL STORE,N,1933,0860,N,25.0,"{'latitude': '41.93859561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.649576033'}",1920956.0,41.93859561,38.0,1170283.0,-87.649576033,681.0,4449.0,57.0
JG118258,2023-01-16T12:45:00.000,002XX W 63RD ST,BATTERY,08B,DOMESTIC BATTERY SIMPLE,20,GAS STATION,Y,722,0486,N,4.0,"{'latitude': '41.779960201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.632099778'}",1863188.0,41.779960201,53.0,1175510.0,-87.632099778,166.0,21559.0,66.0
JG119132,2023-01-16T17:00:00.000,130XX S DR MARTIN LUTHER KING JR DR,THEFT,06,$500 AND UNDER,9,STREET,N,533,0820,N,43.0,"{'latitude': '41.658182943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.61332106'}",1818856.0,41.658182943,30.0,1181003.0,-87.61332106,9.0,4460.0,51.0
JG122870,2023-01-16T10:00:00.000,078XX S ADA ST,OFFENSE INVOLVING CHILDREN,08B,CHILD ABUSE,17,APARTMENT,Y,612,1750,N,31.0,"{'latitude': '41.751722452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.656997753'}",1852844.0,41.751722452,17.0,1168800.0,-87.656997753,575.0,21554.0,70.0
JG118856,2023-01-16T22:30:00.000,028XX E 95TH ST,THEFT,06,$500 AND UNDER,10,GAS STATION,N,431,0820,N,47.0,"{'latitude': '41.722725152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.554566354'}",1842514.0,41.722725152,47.0,1196846.0,-87.554566354,493.0,21202.0,44.0
JF392717,2022-09-09T14:54:00.000,006XX W OAKDALE AVE,THEFT,06,OVER $500,44,APARTMENT,N,1934,0810,N,,,,,,,,,,
JG118411,2023-01-16T00:00:00.000,003XX W CHICAGO AVE,THEFT,06,POCKET-PICKING,27,BAR OR TAVERN,N,1823,0870,N,36.0,"{'latitude': '41.896561044', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.636584978'}",1905667.0,41.896561044,22.0,1173942.0,-87.636584978,652.0,4446.0,37.0
